Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-01,2016,2,1,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,05,2016-05,35.39,35.95,34.91,35.52,1397400.0,34.22,0.008804160887500023,31.246428571428563,34.08760000000001
2016-02-02,2016,2,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,05,2016-05,35.25,35.74,33.45,34.1,1499100.0,32.86,-0.03997740423579177,31.389285714285705,34.057
2016-02-03,2016,2,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,05,2016-05,34.4,34.49,33.05,33.8,966300.0,32.57,-0.00879758484102744,31.667857142857134,33.9996
2016-02-04,2016,2,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,05,2016-05,33.73,34.21,33.04,34.09,923500.0,32.85,0.008579903455001814,31.866428571428564,33.9296
2016-02-05,2016,2,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,05,2016-05,33.93,34.5,31.64,31.99,1047300.0,30.82,-0.061601733808866466,31.88857142857142,33.837399999999995
2016-02-08,2016,2,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,06,2016-06,31.39,32.21,30.65,31.89,1071900.0,30.73,-0.0031259935809334616,31.974285714285706,33.742799999999995
2016-02-09,2016,2,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,06,2016-06,31.5,34.04,31.4,33.39,1066100.0,32.17,0.04703669258807208,32.15928571428571,33.681
2016-02-10,2016,2,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,06,2016-06,33.54,34.96,33.54,34.19,1564100.0,32.94,0.023959279079007967,32.38642857142857,33.629
2016-02-11,2016,2,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,06,2016-06,33.55,34.14,33.23,33.93,845500.0,32.69,-0.007604510782262985,32.54785714285713,33.5852
2016-02-12,2016,2,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,06,2016-06,33.95,36.43,33.83,36.25,1247100.0,34.93,0.06837612721782538,32.866428571428564,33.576
2016-02-16,2016,2,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,07,2016-07,36.9,37.06,35.68,37.06,1617700.0,35.71,0.022344748135562087,33.19071428571427,33.5506
2016-02-17,2016,2,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,07,2016-07,37.22,38.54,37.22,38.01,1909100.0,36.62,0.02563381590748004,33.32642857142856,33.561
2016-02-18,2016,2,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,07,2016-07,38.4,39.63,37.82,39.18,1397400.0,37.75,0.030781587482000994,33.62785714285713,33.5744
2016-02-19,2016,2,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,07,2016-07,39.13,40.08,38.65,39.77,1374700.0,38.32,0.015058865518913667,33.94142857142856,33.5814
2016-02-22,2016,2,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,08,2016-08,40.25,41.31,40.02,41.13,1408600.0,39.63,0.03419653094946029,34.32785714285713,33.6274
2016-02-23,2016,2,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,08,2016-08,41.3,41.71,40.64,41.29,1929500.0,39.78,0.003890240803345213,34.82214285714284,33.6974
2016-02-24,2016,2,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,08,2016-08,40.95,42.84,40.33,42.62,1697900.0,41.06,0.03221112642528401,35.42857142857141,33.7808
2016-02-25,2016,2,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,08,2016-08,42.89,43.38,42.12,43.09,1142700.0,41.52,0.011027502988183002,36.047857142857126,33.885999999999996
2016-02-26,2016,2,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,08,2016-08,43.39,43.39,41.8,42.64,1637500.0,41.08,-0.010443223220083286,36.78071428571427,33.9752
2016-02-29,2016,2,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,09,2016-09,42.47,43.95,42.17,43.02,1478500.0,41.45,0.008911830905854456,37.54642857142856,34.0762
2016-03-01,2016,3,1,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,09,2016-09,43.44,44.26,42.93,43.96,1591500.0,42.36,0.021850309586852745,38.2742857142857,34.18039999999999
2016-03-02,2016,3,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,09,2016-09,43.97,44.5,43.08,43.85,1195000.0,42.25,-0.002502306284486777,38.9392857142857,34.29679999999999
2016-03-03,2016,3,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,09,2016-09,43.95,45.36,43.76,44.98,1178000.0,43.34,0.02576968252568057,39.699999999999996,34.45019999999999
2016-03-04,2016,3,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,09,2016-09,44.99,45.97,44.82,45.76,1199800.0,44.09,0.0173410109526575,40.354285714285716,34.60979999999999
2016-03-07,2016,3,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,10,2016-10,45.75,46.49,45.05,45.73,1345300.0,44.06,-0.0006555633596753152,40.950714285714284,34.76959999999999
2016-03-08,2016,3,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,10,2016-10,44.71,44.85,43.01,43.96,1639800.0,42.36,-0.03870542900557472,41.36071428571428,34.89739999999999
2016-03-09,2016,3,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,10,2016-10,44.03,45.4,44.01,45.02,1495100.0,43.38,0.024112977723764084,41.762857142857136,35.04919999999999
2016-03-10,2016,3,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,10,2016-10,45.36,45.88,43.41,44.74,1338000.0,43.11,-0.006219543382464887,42.105,35.19659999999999
2016-03-11,2016,3,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,10,2016-10,44.86,45.88,44.86,45.35,862900.0,43.7,0.013634156548339327,42.395714285714284,35.34979999999999
2016-03-14,2016,3,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,11,2016-11,44.86,46.07,44.84,45.75,1010400.0,44.08,0.008820422473730716,42.70285714285715,35.52839999999999
2016-03-15,2016,3,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,11,2016-11,45.72,45.76,44.95,45.43,848100.0,43.77,-0.006994521124319197,42.896428571428565,35.722999999999985
2016-03-16,2016,3,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,11,2016-11,45.11,46.98,44.95,46.57,991000.0,44.87,0.02509358021265662,43.135714285714286,35.988199999999985
2016-03-17,2016,3,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,11,2016-11,46.5,46.93,45.12,45.44,1401600.0,43.78,-0.024264643121054696,43.32857142857142,36.24659999999999
2016-03-18,2016,3,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,11,2016-11,45.63,46.65,45.27,45.85,2383900.0,44.18,0.00902286651948181,43.523571428571415,36.50339999999999
2016-03-21,2016,3,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,12,2016-12,45.8,46.74,45.67,46.48,821600.0,44.78,0.01374049822420531,43.696428571428555,36.776999999999994
2016-03-22,2016,3,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,12,2016-12,45.75,46.5,45.51,46.32,745100.0,44.63,-0.0034422912378390125,43.86642857142856,37.054199999999994
2016-03-23,2016,3,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,12,2016-12,46.32,47.37,45.64,46.7,1388700.0,45.0,0.008203809360838754,43.98499999999998,37.3334
2016-03-24,2016,3,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,12,2016-12,46.7,47.03,45.68,46.28,1144000.0,44.59,-0.008993573185124393,44.02071428571427,37.608
